AD	AT	embassy	Vienna	48.2019	16.3701
AD	BE	embassy	Brussels	50.8470	4.3548
AD	ES	embassy	Madrid	40.4205	-3.6874
AD	FR	embassy	16th arrondissement of Paris	48.8567	2.2745
AD	PT	embassy	Lisbon	38.7125	-9.1654
AD	US	embassy	New York City	40.7507	-73.9696
AE	AF	embassy	Kabul	34.5298	69.1784
AE	AM	embassy	Yerevan	40.1814	44.5144
AE	AM	embassy	Yerevan	40.1953	44.5148
AE	AO	embassy	Luanda	-8.8384	13.2339
AE	AR	embassy	Buenos Aires	-34.5673	-58.4411
AE	AT	embassy	Vienna	48.2397	16.3411
AE	AU	consulate_general	Melbourne	-37.8176	144.9584
AE	AU	embassy	Canberra	-35.3074	149.1366
AE	AZ	embassy	Baku	40.3936	49.8225
AE	BD	embassy	Dhaka	23.8036	90.4106
AE	BE	embassy	Brussels	50.8090	4.3845
AE	BG	embassy	Sofia	42.6544	23.3155
AE	BH	embassy	Manama	26.2233	50.5947
AE	BR	consulate	São Paulo	-23.5584	-46.6616
AE	BR	embassy	Brasília	-15.8508	-47.8899
AE	BY	embassy	Minsk	53.9121	27.5675
AE	CA	consulate	Toronto	43.6718	-79.3831
AE	CA	embassy	Ottawa	45.4351	-75.6960
AE	CH	embassy	Bern	46.9438	7.4337
AE	CL	embassy	Las Condes	-33.4175	-70.5980
AE	CN	consulate	Shanghai	31.2154	121.4467
AE	CN	consulate_general	Guangzhou	23.1175	113.3273
AE	CN	embassy	Beijing	39.9514	116.4654
AE	CO	embassy	Bogotá	4.6658	-74.0432
AE	CR	embassy	San José	9.9318	-84.1460
AE	CU	embassy	Havana	23.0872	-82.4538
AE	CY	embassy	Nicosia	35.1681	33.3581
AE	CZ	embassy	Prague	50.1044	14.4053
AE	DE	consulate	Munich	48.1375	11.5750
AE	DE	consulate_general	Bonn	50.7322	7.1088
AE	DE	embassy	Bezirk Mitte	52.5079	13.3577
AE	DJ	embassy	Djibouti	11.5678	43.1596
AE	DZ	embassy	Algiers	36.7514	3.0225
AE	EG	embassy	Cairo	30.0264	31.2176
AE	ES	consulate	Barcelona	41.3863	2.1663
AE	ES	embassy	Madrid	40.4475	-3.6510
AE	FI	embassy	Helsinki	60.1679	24.9406
AE	FR	embassy	Paris	48.8621	2.3100
AE	GB	embassy	London	51.5006	-0.1534
AE	GH	embassy	Accra	5.5783	-0.1617
AE	GN	embassy	Conakry	9.5832	-13.6659
AE	GR	embassy	Palaio Psychiko	38.0080	23.7776
AE	HK	consulate	Hong Kong	22.2791	114.1694
AE	HU	embassy	Budapest District XII	47.5150	18.9874
AE	ID	embassy	Jakarta	-6.2259	106.8308
AE	IE	embassy	Dublin	53.3328	-6.2534
AE	IL	embassy	Tel Aviv	32.0645	34.7703
AE	IN	consulate_general	Kerala	8.4765	76.9478
AE	IN	consulate_general	Mumbai	18.9161	72.8187
AE	IN	embassy	New Delhi	28.5951	77.1826
AE	IQ	embassy	Baghdad	33.3176	44.3365
AE	IR	embassy	Tehran	35.7692	51.4132
AE	IT	consulate_general	Milan	45.4702	9.2024
AE	IT	embassy	Rome	41.9086	12.5052
AE	JO	embassy	Amman	31.9561	35.8860
AE	JP	embassy	Tokyo	35.6539	139.6965
AE	KE	embassy	Nairobi	-1.2844	36.8136
AE	KR	embassy	Seoul	37.5365	127.0123
AE	KW	embassy	Kuwait	29.3646	48.0170
AE	LB	embassy	Beirut	33.8715	35.4836
AE	LK	embassy	Colombo	6.9101	79.8568
AE	LV	embassy	Riga	56.9594	24.0987
AE	LY	embassy	Tripoli	32.8875	13.1875
AE	MA	embassy	Rabat	33.9464	-6.8112
AE	ME	embassy	Podgorica	42.4411	19.2440
AE	MN	embassy	Ulaanbaatar	47.9056	106.9429
AE	MR	embassy	Nouakchott	18.0971	-15.9829
AE	MV	embassy	Malé	4.1780	73.5136
AE	MX	embassy	Mexico City	19.4242	-99.1755
AE	MY	embassy	Kuala Lumpur	3.1568	101.7299
AE	MZ	embassy	Maputo	-25.9568	32.6066
AE	NG	consulate	Lagos	6.4400	3.4100
AE	NG	embassy	Q3787	9.0911	7.5054
AE	NO	embassy	Oslo	59.9138	10.7223
AE	NZ	embassy	Wellington	-41.2826	174.7777
AE	OM	embassy	Muscat	23.6053	58.4310
AE	PE	embassy	Lima	-12.1313	-77.0297
AE	PH	embassy	Taguig	14.5346	121.0525
AE	PK	consulate	Karachi	24.7778	67.0601
